1978/6/17	12:11.0	-179.59	-23.07	523	5.6	0	357	47	144	113	65	49	2.201	-0.233	-1.968	2.388	0.603	2.063	231	10	-3.49	134	36	-0.62	334	52	4.11	3.8	24	B061778A	5.66	5.656522398
1978/7/4	40:54.0	131.12	32.66	118	5.7	0	286	58	150	33	65	36	2.335	-4.344	2.009	-1.091	4.239	-2.631	158	4	-5.32	63	47	-1.7	252	43	7.02	6.17	24	B070478A	5.8	5.796856776
1978/7/17	09:39.4	-179.99	-23.64	546	5.4	0	83	41	149	197	71	53	1.021	-0.699	-0.322	-0.068	-1.279	-1.306	313	17	-2.11	211	34	0.14	65	50	1.97	2.04	24	B071778B	5.48	5.476420112
1978/7/20	34:47.2	-86.63	12.15	121	5.3	0	187	48	25	80	72	135	3.588	-1.714	-1.874	4.547	-0.157	-6.098	139	15	-8.72	243	42	1.12	34	44	7.6	8.16	24	B072078A	5.88	5.877793439
1978/8/3	07:35.9	96.89	52.14	33	5.3	5.5	187	52	150	297	67	42	1.628	0.588	-2.216	-2.296	-0.456	1.94	59	9	-3.31	320	43	-0.57	158	46	3.89	3.6	24	B080378C	5.64	5.640868334
1978/8/10	07:20.2	175.67	-16.66	33	5.5	5.3	150	58	151	256	66	35	2.023	-3.414	1.391	-0.927	-0.839	2.342	21	5	-4.41	286	48	1.08	116	41	3.34	3.88	24	B081078D	5.66	5.662554484
1978/8/18	52:28.4	-153.53	59.89	123	5.4	0	312	57	150	59	65	37	0.71	-1.549	0.839	0.259	0.904	0.228	183	5	-1.59	88	47	-0.13	278	43	1.72	1.65	25	B081878B	6.08	6.081655963
1978/11/2	15:40.5	72.61	39.41	46	5.4	5.2	79	52	140	197	60	46	7.662	-4.627	-3.035	1.892	-4.38	-9.052	316	5	-13.04	223	37	1.85	52	52	11.19	12.12	23	B110278A	5.33	5.325668413
1978/11/22	07:36.1	126.43	1.59	50	5.4	4.5	217	55	146	328	62	40	0.824	0.751	-1.575	-0.448	0.201	-0.068	91	5	-1.59	357	42	0.34	186	47	1.25	1.42	24	B112278A	5.37	5.371525563
1978/12/18	48:01.9	145.54	18.57	210	5.2	0	199	48	152	309	69	46	1.796	1.298	-3.094	-3.198	0.12	1.009	69	13	-3.5	328	41	-1.3	174	46	4.8	4.15	24	B121878D	5.68	5.682032064
1978/12/23	23:12.0	122.08	23.25	33	6.6	7	239	53	158	343	72	39	1.986	1.711	-3.697	0.232	1.384	-1.945	108	12	-4.62	4	48	2.11	208	40	2.51	3.56	26	C122378B	6.97	6.970966665
1978/12/27	46:10.4	13.58	41.11	390	5.6	0	82	44	156	190	74	49	3.166	-1.719	-1.447	0.481	-4.977	-5.18	309	18	-7.78	204	39	0.16	58	45	7.63	7.7	24	B122778A	5.86	5.860993817
1979/1/25	30:06.1	-153.12	60.13	105	5.5	0	65	56	33	315	63	141	1.925	-3.595	1.67	0.023	2.191	0.942	11	4	-3.78	105	44	-0.27	277	46	4.05	3.92	24	B012579A	5.67	5.665524045
1979/2/18	26:33.9	-177.83	-20.58	380	5.1	0	45	46	22	300	74	134	3.766	-8.684	4.918	-4.456	6.599	-2.4	358	17	-10.12	105	42	-1.96	252	43	12.08	11.1	23	B021879C	5.3	5.300215319
1979/2/23	35:49.7	132.08	-0.24	43	5.5	4.7	356	45	24	249	74	132	0.496	0.222	-0.718	-1.132	0.244	-0.648	309	18	-1.15	55	40	-0.51	201	45	1.66	1.4	24	B022379A	5.37	5.36741869
1979/3/30	10:25.8	-27.25	-56.17	132	5.5	0	201	57	146	311	62	38	4.3	3.363	-7.663	-5.985	-0.975	2.859	75	3	-8.38	342	44	-1.85	168	46	10.23	9.31	23	B033079A	5.25	5.249299787
1979/5/13	26:07.8	145.34	19	251	5.9	0	183	55	145	295	62	40	6.467	0.925	-7.391	-6.624	-2.723	7.361	58	4	-11.75	325	42	-1.23	152	48	12.99	12.37	25	B051379A	6.66	6.664913133
1979/5/19	34:34.0	100.96	-1.08	131	5.4	0	107	54	142	222	60	43	4.395	-6.054	1.658	1.168	-6.654	-1.964	343	4	-6.56	250	39	-3.55	78	50	10.11	8.33	23	B051979A	5.22	5.217096668
1979/5/21	58:29.8	153.09	-4.24	52	5.3	4	142	53	31	31	66	138	3.122	2.792	-5.913	3.133	1.308	0.562	89	8	-6.1	186	43	-0.14	351	46	6.24	6.17	23	B052179B	5.13	5.130190109
1979/5/23	30:07.9	164.95	-10.63	68	5.6	0	305	52	30	195	67	138	2.425	1.702	-4.127	-1.099	-1.632	2.264	253	9	-5.1	352	43	1	153	46	4.1	4.6	24	B052379B	5.71	5.711838554
1979/7/22	12:30.7	-27.03	-56.23	90	5.7	0	198	44	162	302	77	47	0.801	0.903	-1.704	-1.605	0.565	1.12	62	20	-2.53	313	41	0.03	172	42	2.5	2.52	24	B072279A	5.54	5.537600361
1979/8/2	37:08.1	-27.49	-55.94	91	5.3	0	164	49	160	267	75	42	2.552	-2.97	0.418	-4.671	-2.054	5.518	30	16	-7.78	283	46	-0.44	134	40	8.23	8.01	23	B080279B	5.21	5.205755011
1979/9/16	55:47.4	128.09	3.49	45	5.9	5.6	129	50	154	236	70	42	4.427	-9.744	5.317	-3.064	-5.304	0.643	358	12	-10.39	256	44	-0.13	100	43	10.52	10.46	24	B091679C	5.95	5.94968779
1979/10/17	29:26.4	136.6	-1.16	33	6	5.6	95	58	26	350	68	146	0.528	-0.365	-0.163	0.442	0.73	1.112	45	6	-1.4	142	50	-0.15	310	40	1.55	1.47	25	B101779C	6.05	6.048211556
1979/10/20	36:01.7	128.16	-7.37	140	5.6	0	88	54	41	331	58	136	8.419	-8.825	0.406	2.955	6.784	7.403	30	2	-12.96	122	38	-1.14	297	52	14.1	13.53	23	B102079A	5.36	5.357531864
1979/10/22	58:48.9	125.92	0.67	33	6.2	6.3	181	42	150	295	71	52	3.684	0.326	-4.01	-5.253	-0.028	3.634	52	17	-6.87	309	35	-1.07	163	50	7.94	7.4	25	C102279A	6.52	6.51615448
1979/11/9	45:47.6	164.11	55.64	33	5.7	5.5	324	55	156	69	71	37	1.37	-3.132	1.762	1.387	1.99	1.669	193	10	-3.78	92	49	-0.43	292	40	4.21	3.99	24	B110979B	5.67	5.670648597
1979/11/27	11:41.7	147.29	-5.56	205	5.5	0	116	56	139	232	57	41	1.282	-1.771	0.489	0.166	-1.873	-0.223	354	1	-1.79	263	39	-1.02	85	51	2.82	2.3	24	B112779A	5.51	5.511151891
1980/3/6	00:18.4	91.84	35.97	33	5.1	5	285	59	29	180	66	145	4.919	-0.143	-4.776	-6.395	-6.333	9.466	234	5	-12.29	329	49	-2.85	140	41	15.14	13.71	23	B030680A	5.36	5.361358303
1980/3/18	43:29.7	102.05	-4.29	47	5.4	4.9	37	47	162	139	77	44	2.095	4.514	-6.609	6.396	-2.226	-0.348	261	19	-7.32	152	44	-2.67	8	40	9.99	8.65	23	B031880A	5.23	5.228010738
1980/4/14	17:19.7	69.57	36.31	61	5.3	0	186	53	40	69	59	135	1.37	-0.301	-1.069	1.022	-0.519	-1.407	129	4	-2.16	222	37	-0.09	34	52	2.24	2.2	24	B041480A	5.5	5.498281787
1980/6/1	11:24.0	93.83	10.66	161	5.1	0	154	58	146	264	62	37	5.083	-6.625	1.543	-2.483	-3.374	6.298	28	2	-10.07	296	45	0.89	120	45	9.18	9.63	23	B060180B	5.26	5.259084191
